       textosEads  ClassEmociones
235          5739               5
236         12935               2
237         14577               0
238           255               2
239         12640               3
240          7233               4
241         11473               4
242          9613               2
243          9108               4
244         14553               4
245          8041               2
246          7681               4
247          8598               2
248          5394               2
249         11737               2
250          9844               1
251          7833               4
252          4234               0
253          3574               4
254         15418               0
255         11998               3
256         15072               2
257          6160               3
258          1585               4
259         13623               2
260         12444               2
261         11046               2
262          8078               4
263         14092               2
264          9178               4
265          9315               0
266          5278               3
267          3573               4
268          5541               3
269          5402               4
270          5371               4
271         10101               4
272         14249               4
273          2473               4
274         12873               4
275           603               1
276          1134               2
277          1039               4
278         15328               4
279          5120               2
280           259               3
281          3314               4
282          6937               0
283         13529               4
284          7292               3
285         10679               2
286         11714               2
287         11594               2
288         11151               4
289          8713               2
290         13662               4
291          4097               2
292         14015               2
293         14476               2
294         15097               4
295         10691               4
296         15786               4
297          5968               3
298          1794               1
299          1629               4
300         10124               1
301          2510               2
302           568               2
303            35               1
304          3793               2
305           353               0
306         14862               0
307          4838               3
308          6429               4
309          7791               5
310          8317               2
311          9718               0
312          9307               4
313            76               4
314         11697               0
315         13839               3
316          8603               5
317          1403               4
318         12269               3
319         13569               2
320          2585               0
321          3847               2
322          4057               4
323         12205               4
324         14630               2
325          8850               2
326           290               1
327          1377               4
328         11971               0
329         10634               2
330         10046               3
331          9897               2
332         14623               2
333          1379               2
334          3022               2
335         14734               2
336         11429               3
337         13942               2
338          2456               1
339         12975               1
340           439               2
341          5226               2
342          5304               0
343          4777               2
344          1293               2
345           926               2
346          5481               4
347          3170               5
348          9301               2
349           664               2
350          3764               4
351           362               5
352         15204               2
353          3831               1
354          7533               2
355          6642               0
356         12618               3
357          4069               0
358          2082               1
359           718               5
360          7091               2
361          4216               0
362         12575               4
363         14192               4
364         12326               4
365         13028               1
366         13844               2
367           402               1
368          5833               2
369         11756               0
370          2168               4
371          7326               3
372          4708               0
373         10668               4
374         12954               3
375          4735               3
376         14294               2
377         15385               4
378          3384               2
379         13729               2
380          3724               0
381          9050               2
382         10521               3
383         11175               2
384           646               2
385          9726               4
386          4062               5
387          8034               2
388         15288               2
389          1964               4
390          1469               5
391         15449               0
392          5498               2
393         13684               2
394          1429               3
395          4733               2
396          7271               3
397          3974               3
398          9654               2
399           734               4
400          7149               2
401          8828               4
402          2388               1
403          2523               0
404         13258               4
405         14785               0
406         15239               2
407         12154               1
408          9591               5
409          8151               3
410         15469               4
411          7902               4
412         10736               2
413         11420               5
414          5709               3
415          3763               4
416          4730               4
417          5397               2
418          7740               1
419         12780               2
420          8497               2
421          5648               2
422          3732               3
423          4381               1
424         12680               4
425          9141               4
426          4386               1
427          6401               3
428         14668               2
429          8345               4
430          8647               2
431          5597               4
432         13794               2
433         15311               4
434           910               2
435          2961               4
436         14260               2
437         13544               2
438          5663               0
439         13999               4
440          4656               1
441         11769               4
442         10672               4
443          5487               0
444         12092               5
445         14163               5
446          7958               2
447          8493               5
448          9166               1
449         10314               3
450          6510               0
451          2425               2
452         14392               1
453         15561               4
454          5362               0
455          8923               4
456          6916               2
457         10546               1
458          3415               2
459         13199               2
460          4415               2
461          9915               2
462          6787               5
463          3720               0
464           298               4
465         15230               2
466          4647               4
467          7806               0
468          8893               3
469         13444               4
470         14721               3
471           897               0
472          5068               3
473         15229               3
474         10034               2
475          3611               2
476         10688               4
477         15758               2
478           190               4
479          2437               2
480          5911               0
481         10579               2
482          8422               1
483          5705               4
484         14404               2
485          3757               4
486         12070               5
487           816               2
488          9515               2
489          9062               3
490           695               2
491          6476               4
492          7700               0
493          3342               2
494           823               4
495          3855               4
496         14660               4
497          1058               2
498         10608               2
499         11136               2
500         10529               4
501         13579               4
502          2560               0
503          6860               0
504          8025               2
505          5863               4
506          7306               5
507         13972               2
508          4964               2
509          5997               4
510         10874               0
511          4642               2
512          8181               0
513         10261               2
514         11393               2
515          3571               3
516         14396               0
517          8204               2
518          5098               2
519          6611               2
520         11400               2
521          3585               2
522          6471               2
523          9981               2
524           418               1
525         12259               2
526          2162               1
527          4578               4
528          7810               0
529          6648               0
530          4005               4
531          9933               3
532           733               4
533          4358               4
534         13180               4
535          2968               5
536          9962               1
537         15692               4
538          5935               4
539         10531               2
540          4682               1
541         12651               2
542         12521               4
543         11631               4
544          5238               0
545         13505               4
546          2505               0
547         11656               0
548          8820               3
549          4380               2
550         13601               2
551         11614               4
552          1939               2
553         14199               2
554          8970               2
555          2249               3
556          3807               3
557         15468               3
558         14330               2
559           716               5
560         13869               1
561          1561               4
562          3258               0
563          3124               4
564          1484               1
565          9142               2
566         13242               0
567          3780               2
568          4338               2
569          2223               4
570         11112               2
571          7871               1
572          5159               2
573          5636               0
574         15767               4
575          9715               0
576         12188               2
577          3583               3
578         13342               3
579         10190               4
580          8563               1
581          7397               4
582          9063               4
583          4323               4
584         11168               1
585         15655               4
586         14615               0
587          8609               2
588          3650               2
589          7451               4
590          1730               1
591          7911               1
592          2356               0
593          9427               0
594          5934               4
595         14083               4
596         11940               0
597         10161               0
598          1133               2
599          2460               1
600         10580               4
601          3596               4
602         11875               1
603          1833               2
604          3981               1
605         14831               4
606          6485               4
607            90               2
608          4464               4
609         14119               0
610          4747               4
611          5820               3
612         11471               5
613         10215               2
614           377               2
615         12652               2
616          5556               2
617         10191               2
618         11239               4
619          8990               4
620         10592               3
621         14184               1
622          3423               0
623          6902               2
624         11093               3
625          8459               2
626          8048               2
627          8841               1
628         12646               0
629         11515               1
630          4734               4
631         12912               0
632         13347               0
633          2511               0
634          7879               1
635         14846               2
636          5841               3
637          5368               0
638         14687               1
639          3339               0
640          6763               2
641          1452               1
642         13479               4
643          7562               4
644          4215               0
645         13555               2
646         13618               0
647          4844               1
648           907               1
649          3367               5
650          6409               4
651         12945               2
652          1927               2
653         13805               2
654         10303               3
655          3656               4
656         10390               2
657          2658               4
658         11311               0
659          6069               2
660          6008               2
661         11804               1
662         15582               1
663          4328               2
664           429               1
665         14883               0
666          7372               0
667         12674               0
668          7623               2
669         10040               4
670         12228               2
671          8478               2
672          3601               2
673          4356               0
674          3083               1
675          9184               0
676         11445               2
677          5936               4
678          5192               2
679          8830               1
680          5335               2
681         13366               4
682          6427               0
683          7191               4
684          9609               4
685          2637               2
686          8719               2
687          1431               4
688          7324               3
689           761               2
690           691               4
691         14579               0
692         15148               3
693          7846               4
694          1344               2
695         13951               2
696         14465               1
697         11354               0
698          7387               2
699          1378               2
700         12527               3
701          7225               5
702           347               1
703          7055               1
704          4945               0
705          5410               0
706          4179               3
707          4349               4
708          5221               4
709         14080               2
710          1865               3
711         13492               0
712          5565               2
713          3959               0
714         11587               2
715          4667               2
716         15113               2
717         13272               1
718         13512               1
719         10887               3
720         14361               4
721         14645               3
722          8360               2
723         10405               2
724          6169               4
725          9823               4
726         15388               0
727          7856               0
728         12963               0
729         10268               0
730          9110               4
731         14627               2
732         11206               4
733         14834               2
734         12128               1
735         14189               4
736          6369               2
737         15268               4
738           642               2
739          4753               5
740          7874               1
741          6769               2
742          6362               2
743          6132               1
744         12020               1
745         10623               4
746          9985               4
747          9557               0
748          6597               4
749         12544               3
750         15571               2
751         14536               5
752         11211               2
753           162               5
754          9008               2
755         14528               1
756          7577               2
757          4750               2
758          5248               2
759         10310               2
760          5380               5
761         15545               3
762          8068               4
763          1085               3
764          7503               2
765          6519               4
766         15024               2
767         12667               2
768         14726               4
769           894               2
770         12558               2
771          9118               2
772         11392               2
773         11710               1
774           849               1
775          1007               1
776         13563               1
777         11862               0
778          1388               3
779         11852               4
780         15357               2
781          8032               2
782          4450               4
783          4473               4
784          1959               4
785          2920               4
786         12609               2
787          9247               4
788         14735               4
789          1432               1
790         10443               2
791          5239               0
792         13715               2
793          5117               2
794         12828               1
795          2647               0
796          4255               2
797         12813               0
798         11646               0
799          1898               0
800         14433               0
801          3106               0
802         10693               2
803          8878               1
804          1424               4
805         14203               3
806          6986               4
807         11823               1
808         12877               3
809          6036               2
810         13367               5
811          7781               2
812          3862               2
813          2139               2
814         12874               2
815           973               4
816         14062               5
817          6968               2
818         13300               0
819          2426               0
820         14348               0
821          8385               2
822          7710               2
823         12016               4
824          5620               3
825         14339               4
826          5581               2
827          8365               0
828         11452               0
829          6274               0
830          8284               1
831          5594               2
832          6772               2
833          9099               1
834          4590               4
835         10849               5
836         11232               2
837          6041               3
838          5491               4
839          1145               2
840         15294               2
841          9409               4
842          4045               4
843         11879               4
844         11487               0
845          6007               2
846         13352               4
847          3619               4
848          2669               4
849          9140               4
850          1448               2
851         12567               5
852          8976               2
853         11467               0
854         15125               3
855          6491               2
856          4620               0
857         13514               4
858          5013               2
859          5222               0
860         13582               4
861          9452               1
862         12417               1
863          3639               4
864          9564               4
865         13968               1
866          7904               4
867          2985               3
868          2152               1
869          5367               2
870          4155               2
871          7641               1
872          8090               2
873          4502               0
874         10752               2
875          9256               2
876         10025               0
877          2792               2
878          8336               2
879          3191               3
880         14776               0
881         14761               2
882         14832               2
883          5034               2
884            87               0
885          7717               2
886           232               3
887          3541               1
888          3747               0
889          3234               3
890         10855               4
891          2645               1
892          7209               4
893          8760               4
894         10287               3
895         10699               2
896         12492               1
897         12625               3
898          9198               2
899         10536               2
900          6095               4
901         15202               2
902         15885               4
903          4146               1
904         13667               2
905         11133               4
906          2357               3
907          1901               4
908          7585               3
909          3449               4
910          2704               4
911          4837               0
912          8104               3
913         15902               0
914         12728               2
915          8183               0
916          4905               4
917          7514               4
918         13892               2
919          9219               2
920          3420               0
921          9376               4
922         12071               5
923         14088               2
924          5417               3
925          7081               4
926           582               0
927          2651               1
928          7640               3
929         10016               2
930          7782               2
931          3027               0
932          2784               2
933         14728               4
934          5646               2
935          9786               2
936         13194               2
937           504               3
938          5849               2
939          5309               4
940         10692               3
941          3198               1
942         12808               4
943          5542               2
944          4806               4
945           890               0
946          8387               2
947          4394               2
948         11262               4
949          2055               2
950         11401               3
951         14237               2
952         13717               2
953         10973               2
954          5670               0
955         11213               1
956          4314               4
957          3141               2
958         13994               4
959           792               4
960         13864               3
961          8721               0
962          8046               2
963          2554               3
964         14506               4
965          5737               2
966           508               1
967            48               4
968         15741               2
969          7731               2
970          6566               4
971         12132               4
972          7628               3
973          6332               2
974         11259               4
975          4487               4
976          4839               4
977          7831               4
978         15101               0
979         13909               4
980          2113               2
981          8577               4
982          9395               2
983          3891               4
984         10388               3
985           485               0
986         12268               2
987          2844               1
988          3271               4
989         14041               4
990         11830               2
991         15563               2
992         15955               0
993         11724               1
994          8903               3
995         11765               2
996          5665               4
997          8473               0
998           727               4
999         11992               2
1000        10918               4
1001         3048               2
1002         1215               2
1003         5072               4
1004         9331               3
1005         2902               2
1006        12121               2
1007         7597               4
1008         4094               0
1009         1301               4
1010         4121               0
1011         1463               4
1012         5384               2
1013         5518               4
1014         1893               0
1015         8726               2
1016        12464               5
1017         2015               4
1018        12599               1
1019         3834               4
1020         5438               1
1021         5042               4
1022         9950               0
1023        13738               0
1024        15132               2
1025        15569               0
1026         6905               2
1027        14829               2
1028        15928               2
1029         5599               4
1030          413               1
1031         3653               2
1032         1899               2
1033         5119               0
1034         1092               2
1035         3832               1
1036         1361               2
1037         4190               3
1038        11187               4
1039        13967               4
1040        14222               4
1041         2399               4
1042         9436               2
1043         6154               3
1044         8428               1
1045        11839               2
1046         2295               0
1047        15766               4
1048         5573               2
1049        11847               1
1050         2821               2
1051        13126               2
1052        12528               4
1053          856               1
1054         9599               4
1055        11590               2
1056         3200               4
1057        15787               4
1058         8250               4
1059         9758               4
1060        10933               3
1061         4940               4
1062         6417               1
1063        11665               1
1064        10921               2
1065         2095               3
1066         5778               4
1067         1670               4
1068        12878               3
1069         3045               2
1070         4294               4
1071        14239               4
1072        14596               4
1073        12639               4
1074         1942               3
1075         1575               2
1076        10609               2
1077         4646               4
1078         7098               1
1079         1548               2
1080         4063               2
1081         6572               2
1082         6828               2
1083         4440               2
1084        11518               0
1085        13970               1
1086         9593               3
1087        10377               2
1088        10391               0
1089         7683               3
1090         2727               3
1091         4804               2
1092         3636               4
1093         8751               4
1094         6718               0
1095         9774               2
1096        13091               2
1097          872               1
1098         1495               2
1099        11410               2
1100         8642               4
1101         7799               4
1102         2080               3
1103        15709               2
1104         2358               2
1105        10537               2
1106        12822               2
1107        15046               2
1108         9363               4
1109          227               2
1110         3654               3
1111         3796               2
1112        11514               1
1113        11235               2
1114         6170               4
1115         2467               2
1116         4246               2
1117        15109               1
1118        12305               2
1119         8072               4
1120        15246               1
1121         2628               2
1122        14391               4
1123        15460               2
1124        12077               4
1125         2905               1
1126         5441               2
1127         1327               2
1128        10383               1
1129         9592               4
1130        12189               4
1131         2907               2
1132         7382               2
1133        12500               2
1134        14414               2
1135           73               1
1136         8329               2
1137        12375               2
1138        13005               1
1139         8607               2
1140        15581               1
1141        10119               5
1142         5033               2
1143         7311               1
1144         6790               5
1145         2263               1
1146        15487               2
1147         9348               2
1148        12388               5
1149         1863               4
1150         2743               4
1151         6470               2
1152        10003               2
1153        14753               2
1154        12865               2
1155          690               2
1156        12861               2
1157        15029               2
1158         3028               2
1159         3144               1
1160         9670               4
1161         8294               0
1162        11374               2
1163         7102               4
1164          546               2
1165        12366               1
1166         2227               3
1167        13697               3
1168        12793               1
1169        13117               4
1170         3859               4
1171         6951               2
1172         4515               1
1173         5213               4
1174         2148               3
1175        15218               0
1176         6258               2
1177         3666               4
1178        13177               2
1179         8089               2
1180         5666               4
1181         3066               1
1182         1450               4
1183        15228               2
1184         3004               4
1185          513               4
1186         8356               2
1187          906               4
1188         7076               4
1189         3668               4
1190        10402               1
1191         5615               2
1192         6652               0
1193        12196               4
1194         6831               4
1195        13702               2
1196        12331               2
1197        14861               2
1198         8141               2
1199         6283               3
1200        10806               2
1201        11381               1
1202         5858               2
1203        14212               2
1204         4416               2
1205         8787               1
1206         7258               4
1207         1283               4
1208         5830               2
1209        13463               4
1210          202               4
1211          341               2
1212         5232               4
1213         6219               4
1214         3809               4
1215         8175               2
1216        14899               4
1217        12966               1
1218        13659               0
1219          361               4
1220         2423               2
1221        14132               1
1222        13691               2
1223         6690               4
1224         5403               2
1225        13785               2
1226        11195               1
1227         2068               1
1228         6012               4
1229         5107               2
1230         1447               5
1231        12875               2
1232        14558               0
1233         6045               3
1234         8762               4
1235        12039               4
1236        12473               3
1237        14139               0
1238         6898               1
1239         6540               1
1240        10308               2
1241        14258               4
1242         4562               3
1243         7328               4
1244         8790               4
1245          441               2
1246           80               2
1247        15335               4
1248         6431               3
1249         7140               2
1250        11795               2
1251        13317               2
1252        11593               2
1253        15862               0
1254         7138               5
1255         4913               3
1256        13446               0
1257        13727               4
1258         9206               4
1259        11202               2
1260         8407               4
1261         7825               2
1262        13856               2
1263         6941               2
1264         7893               4
1265          959               0
1266        12885               4
1267         6334               4
1268         8019               4
1269         3501               2
1270        13145               0
1271         9937               2
1272        10328               4
1273         8865               4
1274         7511               2
1275          289               0
1276         2307               2
1277         5756               2
1278         4624               3
1279         5675               4
1280         8404               2
1281         5656               4
1282         7305               5
1283         7815               0
1284         7275               2
1285        13230               4
1286         8829               1
1287         7516               2
1288        12725               2
1289        15291               0
1290        13000               2
1291         5056               2
1292         1157               4
1293         7454               0
1294          503               3
1295         4099               2
1296         5279               4
1297        12478               5
1298         3335               3
1299         6581               3
1300         8991               4
1301         3634               4
1302         3238               4
1303        11986               3
1304         5448               4
1305         4982               3
1306         8381               2
1307        10939               2
1308         8348               4
1309         3394               3
1310        10199               2
1311        13478               0
1312         5118               4
1313         6756               2
1314        12201               0
1315         1172               4
1316         6003               0
1317         2648               2
1318         6127               3
1319        14174               2
1320         8437               1
1321         6781               0
1322         3437               2
