     handicappedinfants  waterprojectcostsharing  \
     adoptionofthebudgetresolution  physicianfeefreeze  elsalvadoraid  \
0                                1                   2              2   
1                                1                   2              2   
2                                2                   0              2   
3                                2                   1              0   
4                                2                   1              2   
5                                2                   1              2   
6                                1                   2              2   
7                                1                   2              2   
8                                1                   2              2   
9                                2                   1              1   
10                               1                   2              2   
11                               1                   2              2   
12                               2                   1              1   
13                               2                   1              1   
14                               1                   2              2   
15                               1                   2              2   
16                               2                   1              1   
17                               2                   1              1   
18                               1                   2              2   
19                               2                   1              1   
20                               2                   1              1   
21                               2                   1              1   
22                               2                   1              1   
23                               2                   1              1   
24                               2                   1              1   
25                               2                   1              1   
26                               2                   1              1   
27                               2                   1              1   
28                               1                   2              2   
29                               2                   1              1   
30                               1                   2              2   
31                               2                   1              1   
32                               2                   1              1   
33                               1                   2              2   
34                               2                   1              1   
35                               1                   2              2   
36                               1                   2              2   
37                               1                   2              2   
38                               1                   2              2   
39                               2                   1              1   
40                               2                   1              1   
41                               2                   1              1   
42                               2                   1              1   
43                               2                   1              1   
44                               2                   1              1   
45                               2                   1              1   
46                               2                   1              1   
47                               2                   1              1   
48                               2                   1              1   
49                               1                   2              2   
50                               2                   1              1   
51                               1                   2              2   
52                               2                   1              1   
53                               1                   2              2   
54                               2                   1              1   
55                               1                   2              2   
56                               1                   2              2   
57                               1                   2              2   
58                               1                   2              2   
59                               1                   2              2   
60                               2                   1              1   
61                               1                   2              2   
62                               2                   1              1   
63                               2                   1              1   
64                               2                   1              1   
65                               1                   2              2   
66                               1                   2              2   
67                               1                   2              2   
68                               2                   1              1   
69                               2                   1              1   
70                               2                   1              1   
71                               2                   2              1   
72                               2                   1              1   
73                               2                   2              2   
74                               2                   1              1   
75                               2                   2              2   
76                               2                   1              2   
77                               2                   2              2   
78                               2                   1              2   
79                               1                   2              2   
80                               2                   1              1   
81                               2                   1              1   
82                               1                   2              2   
83                               1                   2              2   
84                               1                   2              2   
85                               2                   1              2   
86                               1                   2              2   
87                               1                   2              2   
88                               2                   1              2   
89                               1                   2              2   
90                               2                   1              1   
91                               2                   1              1   
92                               2                   1              1   
93                               2                   1              1   
94                               2                   1              2   
95                               2                   1              2   
96                               0                   1              2   
97                               1                   1              2   
98                               2                   1              1   
99                               1                   2              2   
100                              1                   1              2   
101                              2                   1              2   
102                              2                   1              2   
103                              1                   1              2   
104                              0                   0              1   
105                              2                   1              1   
106                              1                   2              2   
107                              0                   0              0   
108                              2                   1              1   
109                              2                   1              1   
110                              2                   1              1   
111                              1                   2              2   
112                              2                   1              1   
113                              1                   2              2   
114                              2                   1              1   
115                              2                   1              0   
116                              2                   1              1   
117                              2                   2              2   
118                              2                   1              1   
119                              1                   2              2   
120                              0                   2              2   
121                              1                   2              2   
122                              1                   2              2   
123                              1                   2              2   
124                              2                   1              1   
125                              1                   2              2   
126                              1                   2              2   
127                              2                   1              1   
128                              2                   1              1   
129                              2                   1              1   
130                              2                   1              0   
131                              2                   1              1   
132                              1                   2              2   
133                              1                   2              2   
134                              1                   2              2   
135                              1                   2              2   
136                              1                   2              2   
137                              2                   1              1   
138                              2                   1              1   
139                              2                   1              1   
140                              1                   2              1   
141                              1                   2              2   
142                              1                   2              2   
143                              1                   1              1   
144                              1                   1              1   
145                              2                   1              1   
146                              1                   2              2   
147                              1                   1              1   
148                              1                   2              2   
149                              2                   1              1   
150                              1                   2              2   
151                              0                   2              2   
152                              2                   1              1   
153                              2                   1              1   
154                              1                   2              2   
155                              1                   2              2   
156                              1                   2              2   
157                              2                   1              1   
158                              1                   2              2   
159                              2                   1              0   
160                              1                   1              2   
161                              1                   1              2   
162                              2                   1              2   
163                              1                   2              2   
164                              1                   1              2   
165                              2                   1              1   
166                              2                   2              2   
167                              2                   2              2   
168                              2                   2              2   
169                              2                   1              1   
170                              2                   1              1   
171                              1                   2              2   
172                              2                   1              1   
173                              1                   1              2   
174                              2                   1              1   
175                              2                   1              1   
176                              2                   2              1   
177                              2                   1              1   
178                              2                   1              1   
179                              2                   1              1   
180                              2                   1              1   
181                              2                   1              1   
182                              2                   1              1   
183                              0                   0              0   
184                              2                   1              1   
185                              2                   1              1   
186                              2                   1              1   
187                              2                   1              1   
188                              1                   2              2   
189                              2                   1              1   
190                              1                   2              2   
191                              1                   2              2   
192                              1                   1              1   
193                              2                   1              1   
194                              2                   1              1   
195                              1                   2              2   
196                              2                   1              1   
197                              2                   2              2   
198                              2                   1              1   
199                              1                   1              1   
200                              2                   1              1   
201                              2                   1              1   
202                              2                   1              1   
203                              2                   1              1   
204                              2                   2              2   
205                              2                   1              1   
206                              1                   2              2   
207                              1                   2              2   
208                              2                   1              1   
209                              2                   1              1   
210                              2                   1              1   
211                              1                   2              2   
212                              2                   1              1   
213                              2                   1              1   
214                              1                   2              2   
215                              2                   2              2   
216                              2                   1              2   
217                              1                   2              2   
218                              2                   1              1   
219                              2                   1              1   
220                              2                   1              1   
221                              2                   1              2   
222                              2                   1              1   
223                              1                   2              2   
224                              1                   2              2   
225                              1                   2              2   
226                              2                   1              1   
227                              2                   1              1   
228                              1                   2              2   
229                              2                   2              2   
230                              1                   2              2   
231                              1                   2              2   
232                              2                   1              1   
233                              1                   2              2   
234                              2                   1              1   
235                              1                   2              2   
236                              2                   1              1   
237                              2                   1              1   
238                              2                   1              1   
239                              1                   2              2   
240                              1                   2              1   
241                              2                   1              1   
242                              1                   1              2   
243                              2                   1              1   
244                              2                   1              1   
245                              2                   1              1   
246                              2                   1              2   
247                              1                   2              2   
248                              0                   0              0   
249                              2                   1              1   
250                              1                   2              2   
251                              1                   2              2   
252                              2                   1              1   
253                              1                   2              2   
254                              2                   1              1   
255                              2                   1              1   
256                              1                   2              2   
257                              1                   2              2   
258                              2                   1              1   
259                              2                   1              1   
260                              2                   1              1   
261                              2                   1              1   
262                              2                   1              1   
263                              2                   1              1   
264                              2                   1              1   
265                              2                   1              1   
266                              1                   2              2   
267                              1                   1              1   
268                              2                   1              1   
269                              2                   1              1   
270                              2                   1              1   
271                              2                   1              1   
272                              2                   1              1   
273                              1                   2              2   
274                              1                   2              2   
275                              2                   1              2   
276                              1                   2              2   
277                              2                   2              2   
278                              1                   2              2   
279                              1                   2              2   
280                              2                   1              1   
281                              2                   2              2   
282                              1                   2              2   
283                              1                   2              2   
284                              2                   1              1   
285                              2                   1              1   
286                              2                   1              1   
287                              2                   0              1   
288                              2                   1              2   
289                              2                   1              2   
290                              2                   1              0   
291                              2                   1              1   
292                              2                   1              1   
293                              2                   1              1   
294                              2                   1              1   
295                              1                   2              2   
296                              2                   2              2   
297                              2                   1              1   
298                              1                   1              1   
299                              2                   1              1   
300                              1                   2              2   
301                              0                   1              1   
302                              1                   2              2   
303                              1                   2              2   
304                              1                   2              2   
305                              1                   2              2   
306                              1                   2              2   
307                              2                   1              1   
308                              1                   2              2   
309                              1                   1              1   
310                              1                   2              2   
311                              2                   1              1   
312                              2                   1              1   
313                              2                   2              2   
314                              1                   2              2   
315                              2                   2              2   
316                              1                   1              1   
317                              1                   1              1   
318                              2                   1              1   
319                              2                   1              1   
320                              2                   1              1   
321                              2                   1              1   
322                              2                   1              0   
323                              2                   1              2   
324                              1                   2              2   
325                              1                   1              2   
326                              1                   2              1   
327                              1                   2              2   
328                              2                   1              1   
329                              2                   1              1   
330                              1                   2              2   
331                              2                   1              1   
332                              2                   1              1   
333                              2                   1              1   
334                              2                   1              1   
335                              1                   2              2   
336                              2                   1              1   
337                              2                   1              1   
338                              2                   1              1   
339                              1                   2              2   
340                              1                   2              2   
341                              2                   0              1   
342                              2                   1              2   
343                              1                   2              2   
344                              2                   1              1   
345                              1                   2              2   
346                              1                   2              2   
347                              1                   2              2   
348                              2                   1              1   
349                              2                   2              2   
350                              1                   1              1   
351                              2                   2              2   
352                              1                   2              1   
353                              2                   2              2   
354                              2                   1              1   
355                              2                   2              1   
356                              1                   2              2   
357                              1                   2              2   
358                              2                   1              1   
359                              1                   2              2   
360                              2                   1              1   
361                              2                   1              2   
362                              2                   1              1   
363                              1                   2              2   
364                              1                   2              2   
365                              1                   1              2   
366                              2                   1              1   
367                              2                   1              2   
368                              2                   1              1   
369                              1                   2              2   
370                              2                   1              0   
371                              2                   1              0   
372                              2                   2              2   
373                              2                   0              2   
374                              1                   2              2   
375                              1                   2              2   
376                              2                   1              1   
377                              1                   2              2   
378                              1                   2              2   
379                              1                   2              2   
380                              2                   1              1   
381                              2                   1              2   
382                              1                   2              2   
383                              2                   1              2   
384                              2                   2              2   
385                              1                   1              2   
386                              2                   1              2   
387                              2                   1              2   
388                              2                   2              2   
389                              2                   1              1   
390                              1                   1              0   
391                              1                   1              1   
392                              1                   2              2   
393                              0                   0              1   
394                              0                   0              0   
395                              2                   0              1   
396                              2                   1              2   
397                              1                   1              2   
398                              2                   1              2   
399                              1                   2              0   
400                              1                   2              2   
401                              1                   2              2   
402                              2                   2              1   
403                              1                   2              2   
404                              1                   2              2   
405                              1                   2              2   
406                              2                   1              2   
407                              1                   2              2   
408                              2                   1              1   
409                              1                   2              2   
410                              1                   2              2   
411                              2                   1              1   
412                              1                   2              2   
413                              2                   2              2   
414                              2                   1              1   
415                              2                   1              1   
416                              1                   2              2   
417                              2                   1              1   
418                              2                   1              1   
419                              2                   1              1   
420                              2                   2              2   
421                              2                   1              2   
422                              2                   1              1   
423                              2                   1              1   
424                              2                   1              1   
425                              2                   1              1   
426                              2                   1              1   
427                              1                   2              2   
428                              0                   1              1   
429                              2                   1              0   
430                              2                   2              2   
431                              2                   1              1   
432                              1                   2              2   
433                              1                   2              2   
434                              1                   2              2   

     religiousgroupsinschools  antisatellitetestban  aidtonicaraguancontras  \
0                           2                     1                       1   
1                           2                     1                       1   
2                           2                     1                       1   
3                           2                     1                       1   
4                           2                     1                       1   
5                           2                     1                       1   
6                           2                     1                       1   
7                           2                     1                       1   
8                           2                     1                       1   
9                           1                     2                       2   
10                          1                     1                       1   
11                          2                     1                       1   
12                          1                     2                       2   
13                          2                     2                       2   
14                          2                     1                       1   
15                          2                     1                       1   
16                          2                     1                       2   
17                          1                     2                       2   
18                          2                     1                       1   
19                          1                     2                       2   
20                          0                     2                       2   
21                          1                     2                       2   
22                          1                     2                       2   
23                          1                     2                       2   
24                          1                     2                       2   
25                          1                     2                       2   
26                          1                     2                       2   
27                          1                     2                       2   
28                          1                     2                       2   
29                          1                     2                       2   
30                          2                     1                       1   
31                          1                     2                       2   
32                          1                     2                       2   
33                          2                     1                       1   
34                          1                     2                       2   
35                          2                     1                       1   
36                          2                     1                       1   
37                          2                     1                       1   
38                          2                     1                       1   
39                          1                     2                       2   
40                          1                     2                       2   
41                          1                     2                       2   
42                          1                     2                       2   
43                          1                     2                       2   
44                          1                     2                       2   
45                          1                     2                       2   
46                          1                     2                       2   
47                          1                     2                       2   
48                          1                     2                       2   
49                          2                     1                       1   
50                          1                     2                       2   
51                          2                     1                       0   
52                          1                     2                       2   
53                          2                     1                       1   
54                          2                     0                       2   
55                          2                     1                       1   
56                          2                     1                       1   
57                          2                     1                       1   
58                          2                     1                       1   
59                          2                     1                       1   
60                          0                     2                       2   
61                          2                     1                       1   
62                          1                     2                       2   
63                          1                     2                       2   
64                          1                     2                       2   
65                          2                     2                       1   
66                          2                     2                       1   
67                          2                     1                       1   
68                          1                     2                       2   
69                          1                     2                       2   
70                          1                     2                       2   
71                          1                     2                       2   
72                          1                     2                       2   
73                          1                     2                       1   
74                          2                     2                       2   
75                          2                     1                       1   
76                          2                     1                       1   
77                          2                     1                       2   
78                          2                     1                       1   
79                          1                     1                       1   
80                          2                     2                       2   
81                          1                     2                       2   
82                          2                     1                       1   
83                          2                     1                       1   
84                          2                     1                       1   
85                          2                     1                       1   
86                          2                     1                       1   
87                          2                     1                       1   
88                          2                     2                       1   
89                          2                     1                       1   
90                          1                     2                       2   
91                          1                     2                       2   
92                          1                     2                       2   
93                          1                     2                       1   
94                          2                     1                       1   
95                          2                     1                       0   
96                          2                     1                       1   
97                          2                     2                       1   
98                          2                     2                       2   
99                          2                     1                       1   
100                         2                     1                       1   
101                         2                     2                       1   
102                         2                     2                       1   
103                         2                     0                       1   
104                         2                     2                       2   
105                         1                     1                       2   
106                         2                     1                       1   
107                         0                     0                       0   
108                         1                     2                       2   
109                         1                     2                       2   
110                         1                     2                       2   
111                         2                     1                       1   
112                         2                     2                       2   
113                         2                     1                       1   
114                         1                     2                       2   
115                         0                     2                       2   
116                         1                     2                       2   
117                         1                     2                       1   
118                         1                     1                       2   
119                         2                     1                       1   
120                         2                     1                       1   
121                         2                     1                       1   
122                         2                     1                       1   
123                         2                     1                       2   
124                         1                     2                       2   
125                         2                     1                       1   
126                         2                     1                       1   
127                         1                     2                       2   
128                         2                     1                       2   
129                         1                     2                       2   
130                         0                     2                       2   
131                         2                     1                       2   
132                         2                     1                       1   
133                         2                     1                       1   
134                         2                     1                       1   
135                         2                     1                       1   
136                         2                     1                       1   
137                         2                     2                       2   
138                         2                     2                       2   
139                         2                     2                       2   
140                         1                     2                       2   
141                         2                     2                       2   
142                         2                     2                       2   
143                         1                     2                       2   
144                         2                     2                       2   
145                         2                     2                       2   
146                         2                     1                       1   
147                         1                     2                       2   
148                         2                     1                       1   
149                         1                     2                       2   
150                         2                     1                       1   
151                         2                     1                       1   
152                         2                     1                       2   
153                         2                     2                       2   
154                         2                     1                       1   
155                         2                     1                       0   
156                         2                     2                       1   
157                         2                     1                       2   
158                         2                     1                       1   
159                         2                     2                       2   
160                         2                     1                       1   
161                         2                     2                       1   
162                         2                     2                       1   
163                         2                     2                       1   
164                         2                     1                       1   
165                         2                     2                       2   
166                         2                     2                       2   
167                         2                     2                       2   
168                         2                     1                       1   
169                         1                     2                       2   
170                         1                     0                       2   
171                         2                     1                       1   
172                         1                     2                       2   
173                         2                     1                       1   
174                         1                     2                       2   
175                         1                     2                       2   
176                         1                     2                       2   
177                         1                     2                       2   
178                         1                     2                       2   
179                         1                     2                       2   
180                         1                     2                       2   
181                         1                     2                       2   
182                         1                     2                       2   
183                         0                     0                       0   
184                         1                     2                       2   
185                         1                     2                       2   
186                         1                     2                       2   
187                         1                     2                       2   
188                         2                     2                       2   
189                         1                     2                       2   
190                         2                     1                       1   
191                         2                     1                       0   
192                         2                     2                       2   
193                         1                     2                       2   
194                         2                     2                       0   
195                         2                     1                       1   
196                         2                     2                       2   
197                         2                     1                       1   
198                         1                     2                       2   
199                         1                     2                       2   
200                         1                     2                       2   
201                         1                     2                       2   
202                         2                     2                       2   
203                         1                     2                       2   
204                         2                     2                       1   
205                         2                     2                       2   
206                         2                     1                       1   
207                         2                     2                       1   
208                         1                     2                       2   
209                         1                     2                       2   
210                         2                     2                       2   
211                         2                     1                       1   
212                         1                     2                       2   
213                         2                     1                       2   
214                         2                     1                       1   
215                         2                     1                       1   
216                         2                     1                       1   
217                         2                     1                       1   
218                         1                     2                       2   
219                         1                     1                       2   
220                         1                     2                       2   
221                         2                     1                       1   
222                         1                     2                       2   
223                         1                     1                       1   
224                         2                     1                       1   
225                         2                     1                       1   
226                         2                     2                       2   
227                         1                     2                       2   
228                         2                     1                       1   
229                         2                     2                       1   
230                         2                     1                       1   
231                         2                     1                       1   
232                         1                     2                       2   
233                         2                     1                       1   
234                         2                     2                       2   
235                         2                     1                       1   
236                         1                     2                       2   
237                         2                     2                       2   
238                         1                     2                       2   
239                         2                     2                       1   
240                         2                     2                       0   
241                         1                     2                       2   
242                         2                     2                       1   
243                         1                     2                       2   
244                         1                     1                       2   
245                         1                     2                       2   
246                         1                     2                       2   
247                         2                     0                       1   
248                         0                     0                       0   
249                         1                     2                       2   
250                         2                     1                       1   
251                         2                     1                       1   
252                         2                     2                       2   
253                         2                     1                       1   
254                         1                     2                       2   
255                         1                     2                       2   
256                         1                     1                       1   
257                         1                     1                       1   
258                         1                     2                       2   
259                         1                     2                       2   
260                         1                     2                       2   
261                         0                     2                       2   
262                         1                     2                       2   
263                         1                     2                       2   
264                         1                     2                       2   
265                         1                     2                       2   
266                         2                     1                       1   
267                         1                     2                       2   
268                         1                     2                       2   
269                         1                     2                       2   
270                         1                     2                       2   
271                         2                     2                       2   
272                         1                     2                       2   
273                         1                     2                       2   
274                         1                     2                       1   
275                         2                     1                       1   
276                         2                     1                       1   
277                         2                     2                       2   
278                         2                     1                       1   
279                         2                     1                       1   
280                         1                     2                       2   
281                         2                     2                       2   
282                         2                     1                       1   
283                         2                     1                       1   
284                         2                     2                       2   
285                         2                     2                       2   
286                         2                     0                       2   
287                         2                     2                       2   
288                         2                     1                       2   
289                         2                     1                       2   
290                         2                     0                       2   
291                         2                     2                       2   
292                         2                     2                       2   
293                         2                     2                       2   
294                         2                     2                       2   
295                         2                     0                       0   
296                         2                     1                       1   
297                         2                     2                       2   
298                         1                     2                       2   
299                         2                     2                       2   
300                         1                     2                       2   
301                         2                     2                       2   
302                         2                     2                       1   
303                         2                     1                       1   
304                         2                     1                       1   
305                         2                     1                       1   
306                         2                     1                       1   
307                         2                     2                       2   
308                         2                     1                       1   
309                         2                     2                       2   
310                         2                     1                       1   
311                         2                     2                       2   
312                         1                     2                       2   
313                         2                     1                       1   
314                         2                     2                       2   
315                         2                     2                       0   
316                         2                     1                       2   
317                         1                     2                       2   
318                         1                     2                       2   
319                         1                     2                       2   
320                         2                     1                       2   
321                         1                     2                       2   
322                         2                     1                       0   
323                         2                     1                       2   
324                         2                     1                       1   
325                         2                     1                       1   
326                         1                     2                       2   
327                         2                     1                       1   
328                         1                     2                       2   
329                         2                     2                       2   
330                         2                     1                       1   
331                         1                     2                       2   
332                         1                     2                       2   
333                         1                     2                       2   
334                         2                     2                       2   
335                         2                     1                       1   
336                         2                     2                       2   
337                         1                     2                       2   
338                         1                     2                       2   
339                         2                     1                       1   
340                         2                     1                       1   
341                         2                     2                       2   
342                         0                     2                       1   
343                         1                     2                       1   
344                         1                     2                       2   
345                         2                     2                       1   
346                         2                     1                       1   
347                         2                     1                       1   
348                         1                     2                       2   
349                         2                     2                       2   
350                         2                     2                       1   
351                         2                     2                       2   
352                         2                     2                       2   
353                         2                     2                       1   
354                         2                     2                       2   
355                         1                     1                       2   
356                         2                     1                       1   
357                         2                     1                       1   
358                         2                     2                       2   
359                         2                     1                       1   
360                         2                     2                       2   
361                         2                     2                       1   
362                         2                     2                       2   
363                         2                     1                       1   
364                         2                     1                       1   
365                         2                     1                       1   
366                         1                     2                       2   
367                         2                     2                       2   
368                         2                     2                       2   
369                         2                     1                       1   
370                         2                     2                       2   
371                         1                     2                       2   
372                         2                     1                       1   
373                         2                     1                       2   
374                         2                     1                       1   
375                         2                     1                       1   
376                         1                     2                       2   
377                         2                     0                       0   
378                         2                     1                       1   
379                         2                     1                       1   
380                         2                     0                       2   
381                         2                     2                       2   
382                         2                     1                       1   
383                         2                     1                       2   
384                         2                     1                       1   
385                         2                     1                       1   
386                         2                     1                       2   
387                         2                     1                       2   
388                         2                     1                       1   
389                         1                     2                       2   
390                         2                     0                       1   
391                         1                     1                       2   
392                         2                     1                       1   
393                         2                     1                       2   
394                         2                     1                       1   
395                         1                     1                       2   
396                         2                     1                       2   
397                         0                     1                       1   
398                         2                     1                       2   
399                         2                     1                       1   
400                         2                     1                       0   
401                         2                     1                       1   
402                         2                     2                       2   
403                         2                     1                       1   
404                         2                     1                       1   
405                         2                     1                       1   
406                         2                     1                       1   
407                         2                     1                       1   
408                         2                     2                       2   
409                         2                     1                       1   
410                         2                     1                       1   
411                         2                     2                       2   
412                         2                     1                       1   
413                         2                     2                       2   
414                         1                     2                       2   
415                         2                     2                       2   
416                         2                     1                       1   
417                         1                     2                       2   
418                         1                     2                       2   
419                         1                     2                       2   
420                         2                     2                       2   
421                         2                     2                       2   
422                         2                     2                       2   
423                         2                     2                       2   
424                         0                     2                       2   
425                         1                     2                       2   
426                         1                     2                       2   
427                         2                     2                       2   
428                         1                     2                       2   
429                         1                     2                       2   
430                         2                     1                       1   
